Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Generalized Gamma Convolutions and Related Classes of Distributions and Densities","Lecture Notes in Statistics","","","","10.1007/978-1-4612-2948-3","Lennart Bondesson","1992","http://link.springer.com/book/10.1007/978-1-4612-2948-3","Book"
"Selecting Models from Data","Lecture Notes in Statistics","","","","10.1007/978-1-4612-2660-4","P. CheesemanR. W. Oldford","1994","http://link.springer.com/book/10.1007/978-1-4612-2660-4","Book"
"Branching Processes","Lecture Notes in Statistics","","","","10.1007/978-1-4612-2558-4","C. C. Heyde","1995","http://link.springer.com/book/10.1007/978-1-4612-2558-4","Book"
"Extreme Value Theory","Lecture Notes in Statistics","","","","10.1007/978-1-4612-3634-4","Jürg HüslerRolf-Dieter Reiss","1989","http://link.springer.com/book/10.1007/978-1-4612-3634-4","Book"
"The Nature of Statistical Evidence","Lecture Notes in Statistics","","","","10.1007/978-0-387-40054-9","Bill Thompson","2007","http://link.springer.com/book/10.1007/978-0-387-40054-9","Book"
"Stochastic Processes and Orthogonal Polynomials","Lecture Notes in Statistics","","","","10.1007/978-1-4612-1170-9","Wim Schoutens","2000","http://link.springer.com/book/10.1007/978-1-4612-1170-9","Book"
"Asymptotic Optimal Inference for Non-ergodic Models","Lecture Notes in Statistics","","","","10.1007/978-1-4612-5505-5","Ishwar V. BasawaDavid John Scott","1983","http://link.springer.com/book/10.1007/978-1-4612-5505-5","Book"
"Extremal Families and Systems of Sufficient Statistics","Lecture Notes in Statistics","","","","10.1007/978-1-4612-1023-8","Steffen L. Lauritzen","1988","http://link.springer.com/book/10.1007/978-1-4612-1023-8","Book"
"Computation of Multivariate Normal and t Probabilities","Lecture Notes in Statistics","","","","10.1007/978-3-642-01689-9","Alan GenzFrank Bretz","2009","http://link.springer.com/book/10.1007/978-3-642-01689-9","Book"
"The Matching Methodology: Some Statistical Properties","Lecture Notes in Statistics","","","","10.1007/978-1-4612-3642-9","Prem K. GoelThirugnanasambandam Ramalingam","1989","http://link.springer.com/book/10.1007/978-1-4612-3642-9","Book"
"Topics in Survey Sampling","Lecture Notes in Statistics","","","","10.1007/978-1-4612-2088-6","Parimal Mukhopadhyay","2001","http://link.springer.com/book/10.1007/978-1-4612-2088-6","Book"
"Asymptotic Efficiency of Statistical Estimators: Concepts and Higher Order Asymptotic Efficiency","Lecture Notes in Statistics","","","","10.1007/978-1-4612-5927-5","Masafumi AkahiraKei Takeuchi","1981","http://link.springer.com/book/10.1007/978-1-4612-5927-5","Book"
