Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Beginning Functional Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-3687-8","Karen Saxe","2002","http://link.springer.com/book/10.1007/978-1-4757-3687-8","Book"
"Calculus I","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-5024-1","Jerrold MarsdenAlan Weinstein","1985","http://link.springer.com/book/10.1007/978-1-4612-5024-1","Book"
"Mathematical Logic","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-2355-7","H.-D. EbbinghausJ. FlumW. Thomas","1994","http://link.springer.com/book/10.1007/978-1-4757-2355-7","Book"
"The Real Numbers","Undergraduate Texts in Mathematics","","","","10.1007/978-3-319-01577-4","John Stillwell","2013","http://link.springer.com/book/10.1007/978-3-319-01577-4","Book"
"Why Math?","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1108-2","R. D. Driver","1984","http://link.springer.com/book/10.1007/978-1-4612-1108-2","Book"
"Introduction to Boolean Algebras","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-68436-9","Paul HalmosSteven Givant","2009","http://link.springer.com/book/10.1007/978-0-387-68436-9","Book"
"Rings, Fields, and Vector Spaces","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-2700-5","B. A. Sethuraman","1997","http://link.springer.com/book/10.1007/978-1-4757-2700-5","Book"
"Elementary Topics in Differential Geometry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-6153-7","J. A. Thorpe","1979","http://link.springer.com/book/10.1007/978-1-4612-6153-7","Book"
"Constructive Combinatorics","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-4968-9","Dennis StantonDennis White","1986","http://link.springer.com/book/10.1007/978-1-4612-4968-9","Book"
"Real and Convex Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-5257-7","Erhan ÇınlarRobert J. Vanderbei","2013","http://link.springer.com/book/10.1007/978-1-4614-5257-7","Book"
