Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Critical Infrastructures State of the Art in Research and Application","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-0495-5","W. A. H. ThissenP. M. Herder","2003","http://link.springer.com/book/10.1007/978-1-4615-0495-5","Book"
"Advances in Sensitivity Analysis and Parametic Programming","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-6103-3","Tomas GalHarvey J. Greenberg","1997","http://link.springer.com/book/10.1007/978-1-4615-6103-3","Book"
"Energy and Environmental Policy Modeling","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-4953-6","John Weyant","1999","http://link.springer.com/book/10.1007/978-1-4615-4953-6","Book"
"Linear Programming","International Series in Operations Research & Management Science","","","","10.1007/978-1-4757-5662-3","Robert J. Vanderbei","2001","http://link.springer.com/book/10.1007/978-1-4757-5662-3","Book"
"Handbook of Markov Decision Processes","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-0805-2","Eugene A. FeinbergAdam Shwartz","2002","http://link.springer.com/book/10.1007/978-1-4615-0805-2","Book"
"Integration of Information and Optimization Models for Routing in City Logistics","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-3628-7","Jan Fabian Ehmke","2012","http://link.springer.com/book/10.1007/978-1-4614-3628-7","Book"
"Advanced Models for Project Management","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-8626-9","Prof. L. Valadares Tavares","1999","http://link.springer.com/book/10.1007/978-1-4419-8626-9","Book"
"Linear Programming","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-74388-2","Robert J. Vanderbei","2008","http://link.springer.com/book/10.1007/978-0-387-74388-2","Book"
"Managing Supply Chain Risk","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-3238-8","ManMohan S. SodhiChristopher S. Tang","2012","http://link.springer.com/book/10.1007/978-1-4614-3238-8","Book"
"Computational Techniques of the Simplex Method","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-0257-9","István Maros","2003","http://link.springer.com/book/10.1007/978-1-4615-0257-9","Book"
"Level Crossing Methods in Stochastic Models","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-09421-2","Percy H. Brill","2008","http://link.springer.com/book/10.1007/978-0-387-09421-2","Book"
"Case Studies in Operations Research","International Series in Operations Research & Management Science","","","","10.1007/978-1-4939-1007-6","Katta G. Murty","2015","http://link.springer.com/book/10.1007/978-1-4939-1007-6","Book"
"Project Selection Under Uncertainty","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-9080-8","Stylianos KavadiasChristoph H. Loch","2004","http://link.springer.com/book/10.1007/978-1-4419-9080-8","Book"
"Combat Modeling","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-0790-5","Alan WashburnMoshe Kress","2009","http://link.springer.com/book/10.1007/978-1-4419-0790-5","Book"
"Two-Person Zero-Sum Games","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-9050-0","Alan Washburn","2014","http://link.springer.com/book/10.1007/978-1-4614-9050-0","Book"
"Manufacturing and Service Enterprise with Risks","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-84804-4","Masayuki Matsui","2009","http://link.springer.com/book/10.1007/978-0-387-84804-4","Book"
"Linear Programming","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-7630-6","Robert J Vanderbei","2014","http://link.springer.com/book/10.1007/978-1-4614-7630-6","Book"
"Principles of Forecasting","International Series in Operations Research & Management Science","","","","10.1007/978-0-306-47630-3","J. Scott Armstrong","2001","http://link.springer.com/book/10.1007/978-0-306-47630-3","Book"
"Queues","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-6765-6","Moshe Haviv","2013","http://link.springer.com/book/10.1007/978-1-4614-6765-6","Book"
"Multicriterion Decision in Management","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-4459-3","Jean-Charles PomerolSergio Barba-Romero","2000","http://link.springer.com/book/10.1007/978-1-4615-4459-3","Book"
"Handbook of Operations Research for Homeland Security","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-5278-2","Jeffrey W. Herrmann","2013","http://link.springer.com/book/10.1007/978-1-4614-5278-2","Book"
"Handbook of Simulation Optimization","International Series in Operations Research & Management Science","","","","10.1007/978-1-4939-1384-8","Michael C Fu","2015","http://link.springer.com/book/10.1007/978-1-4939-1384-8","Book"
"Data Envelopment Analysis","International Series in Operations Research & Management Science","","","","10.1007/978-1-4899-8068-7","Wade D. CookJoe Zhu","2014","http://link.springer.com/book/10.1007/978-1-4899-8068-7","Book"
